timestamp,participant_ID,experimenter_ID_code,experimenter_ASGS_total_score,laboratory_ID_code,sitePI_ASGS_total_score,session_type,consent_screen_answer,refused_to_answer_sexual_orientation_question,age,sex,final_consent,ESP_Q_item_1,ESP_Q_item_2,ESP_Q_item_3,SS_Q_item_1,SS_Q_item_2,trial_number,guessed_side,target_side,reward_type,sides_match
"371da24fc319f145859ccf17013dab13b3cb2afb1efaea70e68c09833dfc87fb Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",9a07c365-45b0-49c8-900f-d4089b641138,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,30-44,Female,yes,Probably does not,Probably no,Occasionally,between true and untrue,very untrue,27,right,right,erotic,true
"9f2da83562bedf75f7c9af9b47894be19847e0e3cd6dc657d981b67d92275d1f Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",9a07c365-45b0-49c8-900f-d4089b641138,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,30-44,Female,yes,Probably does not,Probably no,Occasionally,between true and untrue,very untrue,28,right,right,erotic,true
"e0bd80c6f57b5fc57769eaa55d968f6fe0affa9b69da6224da1ade252d5efbc9 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",9a07c365-45b0-49c8-900f-d4089b641138,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,30-44,Female,yes,Probably does not,Probably no,Occasionally,between true and untrue,very untrue,29,right,right,erotic,true
"9e8830b40712833540ad0f502aed8ee57f871a0cad12b6e5e4ba3cfe81c2a215 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",9a07c365-45b0-49c8-900f-d4089b641138,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,30-44,Female,yes,Probably does not,Probably no,Occasionally,between true and untrue,very untrue,30,right,right,erotic,true
"c1e976d28270f0c1b97caa501a44272b43cb27bfc7ee67e2049c61b8eab09d31 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",9a07c365-45b0-49c8-900f-d4089b641138,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,30-44,Female,yes,Probably does not,Probably no,Occasionally,between true and untrue,very untrue,31,right,left,neutral,false
"60628dd564c49931e07f43f6c66b1d94aec124a7bc92c5d31352bc1f397ad781 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",9a07c365-45b0-49c8-900f-d4089b641138,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,30-44,Female,yes,Probably does not,Probably no,Occasionally,between true and untrue,very untrue,32,right,left,erotic,false
"cb85a8416d09a431cb28ce8b151b8e2ea557700f918493bd9557bb45c7eb4ed6 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",9a07c365-45b0-49c8-900f-d4089b641138,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,30-44,Female,yes,Probably does not,Probably no,Occasionally,between true and untrue,very untrue,33,right,right,erotic,true
"a30de5786a0fbcacfe99ebace717404c32f20656418573bafab4a0c8a53cf7e3 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",9a07c365-45b0-49c8-900f-d4089b641138,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,30-44,Female,yes,Probably does not,Probably no,Occasionally,between true and untrue,very untrue,34,right,right,neutral,true
"0902d5ec8127cfe6059fb393be8db681053c65cc6332066d0203c44da2dc8b37 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",9a07c365-45b0-49c8-900f-d4089b641138,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,30-44,Female,yes,Probably does not,Probably no,Occasionally,between true and untrue,very untrue,35,right,left,neutral,false
"627885fee8c5957932d736a79582fb1320cd485fbe712e501b1806f12c599bc7 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",9a07c365-45b0-49c8-900f-d4089b641138,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,30-44,Female,yes,Probably does not,Probably no,Occasionally,between true and untrue,very untrue,36,right,right,erotic,true
